用户名,性别,IP地址,评论内容
比格小星,保密,重庆,啊？还真叫思维驰2啊？
ViveLa_Xixi,保密,江西,这黑边还是成本考虑，这代估计还是便宜价
扣达不溜一啊,保密,天津,爽，ns我18年就卖了，虽然后来又买了个lite，也是玩几小时就卖了，很多大作都没玩过，这下ns2直接完美体验[OK]
波利伯里,男,安徽,b站弹幕“见证”笑点解析：无论出个什么新东西都要发个见证[微笑]
孟德-阿瞒,男,青海,什么时候可以不溢价拿到
清风明月自于心,男,广东,比起机子，我更好奇首发护航大作
Mr.拇指,保密,吉林,我擦，我刚买了六年的switch
豆橛子炒肉,女,广东,机子出来了 护航大作在哪[doge]
Banlongen,男,北京,太好了，终于可以低价拿一代switch了。
-夏雨诗-,保密,四川,终于可以便宜买一代了[脱单doge]
甍毂觴亶,男,福建,公布性能参数了吗？
FunnyFunckly,保密,河南,"这就是任天堂发布新机的感觉吗？
自从认识任天堂以来还是第一次。
好奇妙"
saki糖尿病害我蛀牙,男,重庆,不懂就问能拿我的老switch换新的吗[doge]
邦打津日澄,男,韩国,"任天堂消息
数年等待终结束
攒钱买新机[Mygo表情包_Love]"
攻击力高到让你破防,保密,浙江,我的妈，b站弹窗推荐[笑哭][笑哭]
鸽子Coffee,保密,陕西,不是哥你真直接叫ns2啊
北木__,男,山西,那之后出的卡带还能不能在1上用[tv_难过]
绯衣下非想天阔,保密,江苏,见证历史难蚌
有你那么,男,安徽,任天堂从来都不是靠游戏机性能赢得市场，老任的每一代主机性能其实都不如微软索尼，他靠的一直是强大的独占游戏阵容，只看机器纸面数据没有任何意义的
Ahanaka,女,湖北,"省流：ns2是ns1的第二代
ns2是ns"
Risel小花花,女,江苏,评论区一半人都是没有switch装玩过的[笑哭]
九阳豆浆kun,保密,山东,大的终于来了
只是一只虎斑猫,保密,中国台湾,跟爆料的一點不差 果然還是貼吧廠舅牛逼[笑哭]
鬼山哥6号机,保密,江苏,5年前的芯片，弹幕在这见证历史，确实是历史[笑哭]
军用吸尘机,保密,广东,算上溢价4500能拿下吗[辣眼睛]
阿亿AE,男,上海,5年前的芯片，弹幕在这见证历史，确实是历史[笑哭]
ミミたん,男,日本,为什么有些人骂的那么难听呢不想买可以不买 大部分人还是很期待这部新主机的呀 我感觉友好的讨论可以 别说的那么过分呀😂
看见什么都不会,保密,广东,刚买马车8+dlc，黑化了[笑哭]
是张sir,男,浙江,ns2能玩原神了吗[局长的教育手册静态表情包_爱你]
゚艾克,保密,湖北,Switch2总比SwitchU好[初音未来_大笑]
一碗酸奶柚子,男,山东,太好了[doge]可以买便宜的1代了[doge]
鹿鹿猪的羊羊君,男,新加坡,见证历史了啊！！
艾可晚安,保密,四川,太好辣，马上可以玩丝之鸽辣[天依游学记_没眼看]
MGM咩咕咪,保密,未知,哇！
尖椒甘道夫,男,吉林,"Switch 2        X
Switch pro    ✓"
折翼的白丝帕牛,男,上海,好家伙真的被透完了，连发布时间都给透了[笑哭]
艾芳莉娅,保密,辽宁,我可真是个赤石大王啊
赘肉怪兽FAMO,保密,山东,"任天堂（举着Switch2）：完美的设计不需要改动🤓☝️

苹果（看了看手里的iphone）：auv您别说，还真是😋👍"
小小啵啵脆脆,男,广东,退役了兄弟[拥抱]
叫我小目就好,保密,广东,幽默老任，都2025年了还在用三星8nm工艺制程
晴与情与卿,保密,湖南,正玩着游戏捏
小王和小王都能吃,男,北京,好了，我的一代Switch可以带进化奇石了
一只迷路的猫-,保密,广东,以前是大伙都知道任天堂要出新的Switch了，唯独任天堂不知道，这下好了任天堂终于知道自己家里还有个机子叫Switch[笑哭][笑哭]，我甚至看到推送还以为是什么营销号又开始瞎编了[笑哭][笑哭][笑哭]
Sugar-Yo,男,四川,何时能看到参数
Violettwilight,保密,山东,正常，一代设计非常成功在没有重大革新下哪那么轻易变。PSP100020003000一眼根本认不出来，PSV也没太大变化。甚至PSP和ns在逻辑上也没有本质变化。
莱芜豪斯芭菲yo,男,澳大利亚,我2020年买的switch lite，当时我朋友跟我说现在买太亏了，任天堂快要出新主机了
绝绝指,保密,日本,爆料看太多了导致半小时前推特看到热搜又以为是爆料，于是就看avemujica去了，看完回来才发现是官宣[笑哭]
迷你世界宫方频道,保密,河南,见证史
IliIIlllII,保密,广东,大可猜猜什么时候才能原价铺货，估计得等个1年到1年半。
Han小西,女,北京,我爱人之前买了oled送我当生日礼物。开开心心玩儿了一年 然后怀孕时还在玩 还配了官方手柄。生完孩子彻底吃灰了。我天天看着架子上的灰机 想玩 没时间。要么等我闺女上幼儿园了 要么等她长到能跟我一起玩的年纪。
琥珀の剪刀手,保密,新加坡,这灾难性的人体工学
assassinkieran,保密,中国香港,"如果手柄可以当鼠标[tv_疑问],不会也登录另一个用鼠标的平台吧[tv_doge][tv_doge][tv_doge](bushi"
纳格兰的冬,男,江苏,还是再观望一下游戏，如果神剑再出新的一代的话[星星眼][星星眼][星星眼]
michaelForReal,男,广东,能以旧换新吗？
坐忘道大三元の红中,保密,福建,怎么办兄弟们，手上的switch是不是要早点出手了啊，我不想烂手里了[大哭]
YaeKaori,女,上海,希望能原价买到，最多不要超过原价1000
卡啦卡拉-,男,未知,感觉像是switch升级版[笑哭]
风丘飞鸟,保密,河北,真就只是性能升级，形态几乎没变化，老三升新三都比这更创新
ZzzzzzzazzZ,保密,安徽,我嘞个见证历史都来了
一樂拉麵_,男,广东,大概什么价 有大佬预估一下嘛
薛定谔的二皮,男,河南,这个手柄被迫这样设计，很有可能是为了做鼠标吧，这样3d游戏的视角体验就更舒服了
EndeavorOne,男,广西,哈哈哈，真的就在logo这里直接拼个2
ConTrAil___,男,广东,真能当鼠标用啊，那是不是也说明要接入普通蓝牙鼠标了
斯卡雷特,保密,湖北,"首发护航应该有马车9，超银4？
然后25年内应该会出宝可梦ZA，新火纹，新的3D马？"
MisakaF,男,上海,见证历史可还行，难绷
丘比剪刀特,男,四川,三千以下闭眼入，三千以上就等等党[喜极而泣]
江衍cueb,保密,辽宁,终于能玩60帧的崛起了
声微zz,男,浙江,看来三月发售的爆料也错不了
灵感星源菇,男,日本,不知道王国之泪在这上能不能迎来一波优化[脱单doge]
账号已注销,保密,山东,小时候我只能眼馋，长大了我终于能有属于自己的ns了😋
几-川,男,福建,一晃眼ns2已经出了那么久了，特地来考古一下当年ns2公布的预告[妙啊]
竹鱼Leek,男,贵州,能向下兼容switch卡带是不是也意味着能兼容switch的烧录卡，[思考]这即出即破解啊
玩地球ol不能主动下机,男,上海,NS2就见证历史了?
一般路过周可儿_,保密,安徽,我只想玩1080p的异度之刃2[大哭][大哭][灵魂出窍]
猛将小米,保密,海南,用switch看的
R-A-I,保密,广东,我去除了大部分的大黑边，但保留了一部分，我觉得保留一部分大黑边才知道你玩的是任天堂[热词系列_肥肠自信]
燕惜yanxi,男,辽宁,有种预感，switch2要重蹈wiiu的覆辙了，而且这预告片看起来真像玩家自制的吧。但我还是会买，因为我是任豚[脱单doge][脱单doge][脱单doge]
路人型路人,男,湖北,这不如叫ns pro max 根本不像夸代产品，对于老任来说尤其如此。
Ryu_SK,男,江苏,logo就是这么大的2，好随便啊[笑哭]
無敵破壞亡,男,广东,老任实在不行给苹果磕个头，用个a18估计会好点[点赞]
心の永恒99,男,江苏,Ns2最想我期待的一个功能就是能不能支持真正意义上的快充
阿巴阿巴拉巴巴拉,保密,河南,掌机模式有 ps4 性能吗
秋收时节暮云愁-,保密,江苏,点赞过50，抽十个人一人一台，家里拆迁了[笑哭]
土里明亮的吉他豺,男,四川,正好塞尔达大师模式第7周目[脱单doge]
小杰瑞与汤姆,男,广东,上学的时候想买一台Switch一直没钱，现在工作了终于可以实现自己的梦想了[星星眼][星星眼]
成都第一包子-,男,四川,游戏还要4月才公布，幽默牢任
_查鸽鸽,男,浙江,老祖在此
非来横祸233,保密,四川,见证历史
平安京无照老司机,男,安徽,2026年暑假，软解ns2，风里雨里，小黄鱼等你[给心心][给心心][给心心]
-聪聪不是葱-,男,泰国,我靠我靠真的见证历史了我靠太牛了太牛了任天堂了你终于自己说话了！！[喜欢][喜欢]
水太子,保密,重庆,首次看见任天堂产品带2的，看来老任的创新玩法已经榨干了
堇瓜蹦蹦,保密,广东,好了，可以玩原神了，帕鲁应该也能玩[doge]
乙酰脯酶a,男,广东,满屏见证历史，着实难绷[笑哭]
Steam-游戏特惠,女,山东,[星星眼][星星眼][星星眼]
大河解说,女,江苏,大家一定要去买腾讯版Switch 便宜还好用
只是一只虎斑猫,保密,中国台湾,"每日倒數君[打call]
距離Nintendo Switch2開賣還有__天
距離Nintendo Switch2新消息還有73天"
我在奥星做游戏,保密,广东,见证历史~[星星眼]
核弹头兵子,男,安徽,我去传来传去终于来了
裘不基,男,江西,来了！[打call]
Lin_nk,男,广西,老joycon还能适配吗
我爱罗-桑嗎,男,四川,这个ns2多久发布啊
Lacfer,保密,江苏,话说lite会不会出第二代，我还挺喜欢一体机的
丿丶丨丿一,保密,云南,真的性能提升一大截？而不是一小丢丢嘛[微笑]
胡丽莲114,保密,河北,为了火纹和宝可梦必须买
高级惠特利,男,北京,"类比摇杆鼓咯？
漂移鼓咯？"
阳光-X,男,湖南,"BV1yDN7e8Eaz
对于NS2相比NS变化不大的疑问可以看看这个参考一下[tv_点赞]"
秋葉原サディスト,保密,贵州,如果2代出了，那我在一代上买的数字版游戏可以在二代上玩吗？卡带我记得是兼容的
电磁感应小猫,保密,浙江,手柄卡扣不紧断联问题要是能通过磁吸方式解决我必买
鬼杰组の吉弔八千慧,保密,江苏,比Switch还大一圈，重量怎么样啊？会有轻量化设计吗
GRLARS,女,山东,ns的存档能转到ns2上吗[大哭]舍不得
djdjchd,保密,江西,能塞尔达1080p 30帧我就买，不能就算了
logcxxxctyyat921,保密,陕西,荒野大镖客2有机会在上头玩不？
FKUNVIDIA,保密,广东,大伙们推测一下发布后多少可以拿到手呢？
群星阑干,男,辽宁,性能这么强能玩PS5游戏吗[doge]
鲁智深嘤嘤嘤,男,四川,ns2能玩龙信2吗，想在被窝里玩[doge]
lsirkde,保密,河南,感动啊，我很早就想买switch，并且在上一个月买了，之后开始打工攒钱买二代[大哭][大哭][大哭][大哭][大哭]，太感动了tmd
机器人2538,保密,北京,这joycon连接方式真不会断吗[疑惑]
BlazarXi,男,安徽,"没买1代
性能提升如何
1080能60fps吗？"
Dear-zhao-love,保密,辽宁,有生之年，见证了索尼PS 5的正式公布，也见证了R星GTA 6的公布，现在轮到任天堂的Switch 2了[doge_金箍][脱单doge]
星榆v,保密,云南,能不能像PS5Pro节奏那样，把价格打下来
stadore,保密,湖南,什么时候能买到，等不及了，前几年就想买，结果听说了有2的消息一直等，感觉亏大了
加大力度OvO,男,广西,能1080p60帧王泪火山地下就算成功[笑哭]
神-秘面具男,保密,辽宁,我想玩艾尔登法环，暗喻幻想，只狼，最终幻想15，使命召唤
957,男,安徽,讨论这么热烈，我还以为ns在国内很畅销呢😂
Elysia-永存,保密,陕西,你要知道为什么说见证历史，17年的东西25年才出续作，整整过了8年，况且手柄从滑轨变成了磁吸，这难道不是任天堂历史的革新吗？这台主机要是做得好的话，真的可能被载入游戏主机史上，这不是见证历史，这是什么？
ORIisWatchingU_U,男,日本,密特罗德prime4，求求了[大哭][大哭][大哭][大哭][大哭]，一定要护航发售啊[大哭][大哭][大哭][大哭][大哭]
高人一等少人一亩,保密,河南,6月高考完准备去日本，swich2能买到么
魔进chaser追击者,保密,上海,按照老任的尿性，还是等后续推出oled机型在买吧！
引力常量不适用,男,甘肃,吃了八年老本终于想起来更新换代了，我的NS也已经从异度塞尔达奥德赛启动器到吃灰到闲鱼了
