用户名,性别,评论内容,IP属地
羽生川枫,unknown,会不会有续航版，oled版，lite版[doge_金箍],中国-山东
欢乐多EX,male,掌机和主机模式分辨率提升了吗,中国-福建
格奥尔吉·康斯坦丁诺维奇·朱可夫,male,坐等lite版,中国-甘肃
Yuki゙゙゙,male,这个2致敬中二电波台是吧（￣▽￣）,中国-浙江
大白先生奶糖,unknown,lite 新机感觉这样倒降不了多少。,中国-湖南
国产三十一马赫,unknown,ns还是太成功了[笑哭]我记得老任以前机子换代命名不规则的，这次真叫switch2,中国-河南
车车chieh,male,3dm也发了这个预告，但是无声音版。,中国-广东
邻居的狗好烦,unknown,我的关注点则是这个动画做得真的很好，好解压的感觉,中国-北京
威威一笑弃王权,unknown,看得出来，switch太成功了，新机名字都没有太大改动,中国-北京
粱十一,male,不求别的，希望能把老年游戏三人一狗移植过来，我不介意再玩一遍，还有年底的fc26，别再给ns2搬💩了,中国-陕西
比格小星,unknown,啊？还真叫思维驰2啊？,中国-重庆
ViveLa_Xixi,unknown,这黑边还是成本考虑，这代估计还是便宜价,中国-江西
扣达不溜一啊,unknown,爽，ns我18年就卖了，虽然后来又买了个lite，也是玩几小时就卖了，很多大作都没玩过，这下ns2直接完美体验[OK],中国-天津
波利伯里,male,b站弹幕“见证”笑点解析：无论出个什么新东西都要发个见证[微笑],中国-安徽
孟德-阿瞒,male,什么时候可以不溢价拿到,中国-青海
清风明月自于心,male,比起机子，我更好奇首发护航大作,中国-广东
Mr.拇指,unknown,我擦，我刚买了六年的switch,中国-吉林
豆橛子炒肉,female,机子出来了 护航大作在哪[doge],中国-广东
Banlongen,male,太好了，终于可以低价拿一代switch了。,中国-北京
-夏雨诗-,unknown,终于可以便宜买一代了[脱单doge],中国-四川
甍毂觴亶,male,公布性能参数了吗？,中国-福建
FunnyFunckly,unknown,这就是任天堂发布新机的感觉吗？ 自从认识任天堂以来还是第一次。 好奇妙,中国-河南
saki糖尿病害我蛀牙,male,不懂就问能拿我的老switch换新的吗[doge],中国-重庆
邦打津日澄,male,任天堂消息 数年等待终结束 攒钱买新机[Mygo表情包_Love],海外-韩国
攻击力高到让你破防,unknown,我的妈，b站弹窗推荐[笑哭][笑哭],中国-浙江
鸽子Coffee,unknown,不是哥你真直接叫ns2啊,中国-陕西
北木__,male,那之后出的卡带还能不能在1上用[tv_难过],中国-山西
绯衣下非想天阔,unknown,见证历史难蚌,中国-江苏
有你那么,male,任天堂从来都不是靠游戏机性能赢得市场，老任的每一代主机性能其实都不如微软索尼，他靠的一直是强大的独占游戏阵容，只看机器纸面数据没有任何意义的,中国-安徽
Ahanaka,female,省流：ns2是ns1的第二代 ns2是ns,中国-湖北
Risel小花花,female,评论区一半人都是没有switch装玩过的[笑哭],中国-江苏
九阳豆浆kun,unknown,大的终于来了,中国-山东
只是一只虎斑猫,unknown,跟爆料的一點不差 果然還是貼吧廠舅牛逼[笑哭],中国-中国台湾
鬼山哥6号机,unknown,5年前的芯片，弹幕在这见证历史，确实是历史[笑哭],中国-江苏
军用吸尘机,unknown,算上溢价4500能拿下吗[辣眼睛],中国-广东
阿亿AE,male,5年前的芯片，弹幕在这见证历史，确实是历史[笑哭],中国-上海
ミミたん,male,为什么有些人骂的那么难听呢不想买可以不买 大部分人还是很期待这部新主机的呀 我感觉友好的讨论可以 别说的那么过分呀😂,海外-日本
看见什么都不会,unknown,刚买马车8+dlc，黑化了[笑哭],中国-广东
是张sir,male,ns2能玩原神了吗[局长的教育手册静态表情包_爱你],中国-浙江
゚艾克,unknown,Switch2总比SwitchU好[初音未来_大笑],中国-湖北
一碗酸奶柚子,male,太好了[doge]可以买便宜的1代了[doge],中国-山东
鹿鹿猪的羊羊君,male,见证历史了啊！！,海外-新加坡
艾可晚安,unknown,太好辣，马上可以玩丝之鸽辣[天依游学记_没眼看],中国-四川
尖椒甘道夫,male,Switch 2 X Switch pro ✓,中国-吉林
折翼的白丝帕牛,male,好家伙真的被透完了，连发布时间都给透了[笑哭],中国-上海
艾芳莉娅,unknown,我可真是个赤石大王啊,中国-辽宁
赘肉怪兽FAMO,unknown,任天堂（举着Switch2）：完美的设计不需要改动🤓☝️ 苹果（看了看手里的iphone）：auv您别说，还真是😋👍,中国-山东
小小啵啵脆脆,male,退役了兄弟[拥抱],中国-广东
叫我小目就好,unknown,幽默老任，都2025年了还在用三星8nm工艺制程,中国-广东
晴与情与卿,unknown,正玩着游戏捏,中国-湖南
小王和小王都能吃,male,好了，我的一代Switch可以带进化奇石了,中国-北京
一只迷路的猫-,unknown,以前是大伙都知道任天堂要出新的Switch了，唯独任天堂不知道，这下好了任天堂终于知道自己家里还有个机子叫Switch[笑哭][笑哭]，我甚至看到推送还以为是什么营销号又开始瞎编了[笑哭][笑哭][笑哭],中国-广东
Sugar-Yo,male,何时能看到参数,中国-四川
Violettwilight,unknown,正常，一代设计非常成功在没有重大革新下哪那么轻易变。PSP100020003000一眼根本认不出来，PSV也没太大变化。甚至PSP和ns在逻辑上也没有本质变化。,中国-山东
莱芜豪斯芭菲yo,male,我2020年买的switch lite，当时我朋友跟我说现在买太亏了，任天堂快要出新主机了,海外-澳大利亚
绝绝指,unknown,爆料看太多了导致半小时前推特看到热搜又以为是爆料，于是就看avemujica去了，看完回来才发现是官宣[笑哭],海外-日本
迷你世界宫方频道,unknown,见证史,中国-河南
IliIIlllII,unknown,大可猜猜什么时候才能原价铺货，估计得等个1年到1年半。,中国-广东
Han小西,female,我爱人之前买了oled送我当生日礼物。开开心心玩儿了一年 然后怀孕时还在玩 还配了官方手柄。生完孩子彻底吃灰了。我天天看着架子上的灰机 想玩 没时间。要么等我闺女上幼儿园了 要么等她长到能跟我一起玩的年纪。,中国-北京
琥珀の剪刀手,unknown,这灾难性的人体工学,海外-新加坡
assassinkieran,unknown,"如果手柄可以当鼠标[tv_疑问],不会也登录另一个用鼠标的平台吧[tv_doge][tv_doge][tv_doge](bushi",中国-中国香港
纳格兰的冬,male,还是再观望一下游戏，如果神剑再出新的一代的话[星星眼][星星眼][星星眼],中国-江苏
michaelForReal,male,能以旧换新吗？,中国-广东
坐忘道大三元の红中,unknown,怎么办兄弟们，手上的switch是不是要早点出手了啊，我不想烂手里了[大哭],中国-福建
YaeKaori,female,希望能原价买到，最多不要超过原价1000,中国-上海
卡啦卡拉-,male,感觉像是switch升级版[笑哭],未知
风丘飞鸟,unknown,真就只是性能升级，形态几乎没变化，老三升新三都比这更创新,中国-河北
ZzzzzzzazzZ,unknown,我嘞个见证历史都来了,中国-安徽
一樂拉麵_,male,大概什么价 有大佬预估一下嘛,中国-广东
薛定谔的二皮,male,这个手柄被迫这样设计，很有可能是为了做鼠标吧，这样3d游戏的视角体验就更舒服了,中国-河南
EndeavorOne,male,哈哈哈，真的就在logo这里直接拼个2,中国-广西
ConTrAil___,male,真能当鼠标用啊，那是不是也说明要接入普通蓝牙鼠标了,中国-广东
斯卡雷特,unknown,首发护航应该有马车9，超银4？ 然后25年内应该会出宝可梦ZA，新火纹，新的3D马？,中国-湖北
MisakaF,male,见证历史可还行，难绷,中国-上海
丘比剪刀特,male,三千以下闭眼入，三千以上就等等党[喜极而泣],中国-四川
江衍cueb,unknown,终于能玩60帧的崛起了,中国-辽宁
声微zz,male,看来三月发售的爆料也错不了,中国-浙江
灵感星源菇,male,不知道王国之泪在这上能不能迎来一波优化[脱单doge],海外-日本
账号已注销,unknown,小时候我只能眼馋，长大了我终于能有属于自己的ns了😋,中国-山东
几-川,male,一晃眼ns2已经出了那么久了，特地来考古一下当年ns2公布的预告[妙啊],中国-福建
竹鱼Leek,male,能向下兼容switch卡带是不是也意味着能兼容switch的烧录卡，[思考]这即出即破解啊,中国-贵州
玩地球ol不能主动下机,male,NS2就见证历史了?,中国-上海
一般路过周可儿_,unknown,我只想玩1080p的异度之刃2[大哭][大哭][灵魂出窍],中国-安徽
猛将小米,unknown,用switch看的,中国-海南
R-A-I,unknown,我去除了大部分的大黑边，但保留了一部分，我觉得保留一部分大黑边才知道你玩的是任天堂[热词系列_肥肠自信],中国-广东
燕惜yanxi,male,有种预感，switch2要重蹈wiiu的覆辙了，而且这预告片看起来真像玩家自制的吧。但我还是会买，因为我是任豚[脱单doge][脱单doge][脱单doge],中国-辽宁
路人型路人,male,这不如叫ns pro max 根本不像夸代产品，对于老任来说尤其如此。,中国-湖北
Ryu_SK,male,logo就是这么大的2，好随便啊[笑哭],中国-江苏
無敵破壞亡,male,老任实在不行给苹果磕个头，用个a18估计会好点[点赞],中国-广东
心の永恒99,male,Ns2最想我期待的一个功能就是能不能支持真正意义上的快充,中国-江苏
阿巴阿巴拉巴巴拉,unknown,掌机模式有 ps4 性能吗,中国-河南
秋收时节暮云愁-,unknown,点赞过50，抽十个人一人一台，家里拆迁了[笑哭],中国-江苏
土里明亮的吉他豺,male,正好塞尔达大师模式第7周目[脱单doge],中国-四川
小杰瑞与汤姆,male,上学的时候想买一台Switch一直没钱，现在工作了终于可以实现自己的梦想了[星星眼][星星眼],中国-广东
成都第一包子-,male,游戏还要4月才公布，幽默牢任,中国-四川
_查鸽鸽,male,老祖在此,中国-浙江
非来横祸233,unknown,见证历史,中国-四川
平安京无照老司机,male,2026年暑假，软解ns2，风里雨里，小黄鱼等你[给心心][给心心][给心心],中国-安徽
-聪聪不是葱-,male,我靠我靠真的见证历史了我靠太牛了太牛了任天堂了你终于自己说话了！！[喜欢][喜欢],海外-泰国
水太子,unknown,首次看见任天堂产品带2的，看来老任的创新玩法已经榨干了,中国-重庆
堇瓜蹦蹦,unknown,好了，可以玩原神了，帕鲁应该也能玩[doge],中国-广东
乙酰脯酶a,male,满屏见证历史，着实难绷[笑哭],中国-广东
Steam-游戏特惠,female,[星星眼][星星眼][星星眼],中国-山东
大河解说,female,大家一定要去买腾讯版Switch 便宜还好用,中国-江苏
只是一只虎斑猫,unknown,每日倒數君[打call] 距離Nintendo Switch2開賣還有__天 距離Nintendo Switch2新消息還有73天,中国-中国台湾
我在奥星做游戏,unknown,见证历史~[星星眼],中国-广东
核弹头兵子,male,我去传来传去终于来了,中国-安徽
裘不基,male,来了！[打call],中国-江西
Lin_nk,male,老joycon还能适配吗,中国-广西
我爱罗-桑嗎,male,这个ns2多久发布啊,中国-四川
Lacfer,unknown,话说lite会不会出第二代，我还挺喜欢一体机的,中国-江苏
丿丶丨丿一,unknown,真的性能提升一大截？而不是一小丢丢嘛[微笑],中国-云南
胡丽莲114,unknown,为了火纹和宝可梦必须买,中国-河北
高级惠特利,male,类比摇杆鼓咯？ 漂移鼓咯？,中国-北京
阳光-X,male,BV1yDN7e8Eaz 对于NS2相比NS变化不大的疑问可以看看这个参考一下[tv_点赞],中国-湖南
秋葉原サディスト,unknown,如果2代出了，那我在一代上买的数字版游戏可以在二代上玩吗？卡带我记得是兼容的,中国-贵州
电磁感应小猫,unknown,手柄卡扣不紧断联问题要是能通过磁吸方式解决我必买,中国-浙江
鬼杰组の吉弔八千慧,unknown,比Switch还大一圈，重量怎么样啊？会有轻量化设计吗,中国-江苏
GRLARS,female,ns的存档能转到ns2上吗[大哭]舍不得,中国-山东
djdjchd,unknown,能塞尔达1080p 30帧我就买，不能就算了,中国-江西
logcxxxctyyat921,unknown,荒野大镖客2有机会在上头玩不？,中国-陕西
FKUNVIDIA,unknown,大伙们推测一下发布后多少可以拿到手呢？,中国-广东
群星阑干,male,性能这么强能玩PS5游戏吗[doge],中国-辽宁
鲁智深嘤嘤嘤,male,ns2能玩龙信2吗，想在被窝里玩[doge],中国-四川
